0.001, 462.0, 378.0, 381.0, 636.0, 331.0, 1627.0, 261.0, 1011.0, 198.0, 261.0, 452.0, 354.0, 3.2, 186.0
459.0, 0.001, 101.0, 196.0, 196.0, 133.0, 1361.0, 199.0, 1046.0, 583.0, 201.0, 512.0, 134.0, 462.0, 324.0
379.0, 99.3, 0.001, 141.0, 289.0, 77.2, 1461.0, 119.0, 990.0, 503.0, 121.0, 431.0, 33.7, 381.0, 243.0
381.0, 197.0, 140.0, 0.001, 372.0, 80.3, 1485.0, 121.0, 857.0, 526.0, 122.0, 455.0, 112.0, 383.0, 266.0
633.0, 195.0, 291.0, 370.0, 0.001, 307.0, 1264.0, 373.0, 1038.0, 757.0, 375.0, 686.0, 308.0, 636.0, 498.0
330.0, 133.0, 73.1, 78.1, 307.0, 0.001, 1434.0, 71.2, 928.0, 476.0, 71.5, 404.0, 44.9, 333.0, 216.0
1624.0, 1359.0, 1457.0, 1483.0, 1264.0, 1433.0, 0.001, 1376.0, 2270.0, 1459.0, 1392.0, 1097.0, 1433.0, 1627.0, 1389.0
262.0, 198.0, 117.0, 120.0, 372.0, 70.7, 1378.0, 0.001, 970.0, 452.0, 2.2, 348.0, 93.3, 265.0, 145.0
1011.0, 1046.0, 989.0, 857.0, 1038.0, 929.0, 2269.0, 970.0, 0.001, 1112.0, 971.0, 1304.0, 961.0, 1008.0, 1115.0
198.0, 582.0, 499.0, 524.0, 756.0, 475.0, 1458.0, 449.0, 1113.0, 0.001, 449.0, 364.0, 475.0, 194.0, 270.0
261.0, 198.0, 118.0, 121.0, 372.0, 71.3, 1394.0, 2.4, 970.0, 450.0, 0.001, 364.0, 93.8, 264.0, 143.0
453.0, 511.0, 428.0, 453.0, 685.0, 404.0, 1097.0, 347.0, 1303.0, 365.0, 363.0, 0.001, 404.0, 455.0, 312.0
352.0, 133.0, 33.9, 113.0, 307.0, 49.4, 1435.0, 92.4, 962.0, 476.0, 94.4, 405.0, 0.001, 355.0, 217.0
3.1, 464.0, 381.0, 383.0, 639.0, 334.0, 1630.0, 264.0, 1008.0, 195.0, 264.0, 455.0, 357.0, 0.001, 188.0
186.0, 323.0, 239.0, 265.0, 497.0, 215.0, 1391.0, 143.0, 1114.0, 271.0, 143.0, 311.0, 215.0, 189.0, 0.001
